,0
832,1156.0
833,1047.0
834,1204.0
835,1074.0
836,1018.0
837,862.0
838,1075.0
839,1145.0
840,1299.0
841,1325.0
842,963.0
843,1191.0
844,1197.0
845,1220.0
846,1418.0
847,963.0
848,1096.0
849,1362.0
850,996.0
851,1339.0
852,1068.0
853,1161.0
854,941.0
855,1262.0
856,1102.0
857,1108.0
858,1416.0
859,943.0
860,1035.0
861,1006.0
862,1131.0
863,1167.0
864,1276.0
865,1249.0
866,1354.0
867,1012.0
868,1125.0
869,849.0
870,1338.0
871,1176.0
872,1234.0
873,1065.0
874,1373.0
875,1401.0
876,917.0
877,1087.0
878,1077.0
879,1054.0
880,1220.0
881,1247.0
882,1085.0
883,1157.0
884,1161.0
885,1209.0
886,1017.0
887,1359.0
888,1170.0
889,1412.0
890,1352.0
891,1061.0
892,1173.0
893,1133.0
894,1126.0
895,948.0
896,1515.0
897,1136.0
898,1297.0
899,1469.0
900,1208.0
901,1231.0
902,1290.0
903,1058.0
904,969.0
905,1289.0
906,1459.0
907,1061.0
908,1442.0
909,1000.0
910,865.0
911,1131.0
912,1263.0
913,1480.0
914,1340.0
915,1173.0
916,1168.0
917,1059.0
918,1079.0
919,1341.0
920,1183.0
921,925.0
922,1145.0
923,994.0
924,900.0
925,1268.0
926,1335.0
927,926.0
928,1271.0
929,1231.0
930,1141.0
931,876.0
932,1556.0
933,1306.0
934,1152.0
935,1256.0
936,981.0
937,1285.0
938,1052.0
939,1116.0
940,956.0
941,1027.0
942,1211.0
943,1175.0
944,949.0
945,1205.0
946,1019.0
947,1018.0
948,1247.0
949,1191.0
950,1090.0
951,1545.0
952,1197.0
953,1212.0
954,1225.0
955,1263.0
956,1090.0
957,1287.0
958,1265.0
959,1558.0
960,819.0
961,1302.0
962,1267.0
963,1070.0
964,1472.0
965,962.0
966,926.0
967,1137.0
968,1365.0
969,1209.0
970,1558.0
971,1436.0
972,1333.0
973,1338.0
974,1080.0
975,1104.0
976,1393.0
977,851.0
978,1244.0
979,986.0
980,1293.0
981,1087.0
982,1209.0
983,943.0
984,1325.0
985,1501.0
986,1125.0
987,1092.0
988,1001.0
989,1109.0
990,1143.0
991,1274.0
992,1059.0
993,1140.0
994,1282.0
995,1378.0
996,1307.0
997,1187.0
998,1329.0
999,1091.0
1000,1153.0
1001,1260.0
1002,1120.0
1003,1085.0
1004,902.0
1005,1145.0
1006,1166.0
1007,1203.0
1008,1209.0
1009,1114.0
1010,1295.0
1011,1324.0
1012,1173.0
1013,1235.0
1014,1461.0
1015,1229.0
1016,1265.0
1017,972.0
1018,1324.0
1019,1183.0
1020,1254.0
1021,828.0
1022,1218.0
1023,1234.0
1024,1363.0
1025,995.0
1026,1188.0
1027,1147.0
1028,893.0
1029,1209.0
1030,1085.0
1031,1088.0
1032,1399.0
1033,1071.0
1034,1315.0
1035,1034.0
1036,998.0
1037,1373.0
1038,1416.0
1039,1047.0
1040,1196.0
1041,1154.0
1042,1367.0
1043,1065.0
1044,1180.0
1045,1425.0
1046,1150.0
1047,1272.0
1048,1159.0
1049,1176.0
1050,1099.0
1051,1099.0
1052,1463.0
1053,1515.0
1054,1344.0
1055,1217.0
1056,961.0
1057,1062.0
1058,1170.0
1059,1489.0
1060,1280.0
1061,1484.0
1062,1288.0
1063,1293.0
1064,917.0
